repo_id,repository_url,category,quality_rating,description,stars_estimate,notes
0,https://github.com/eriklindernoren/ML-From-Scratch,Category 1: From Scratch,extra-high,"Bare bones NumPy implementations of ML models from linear regression to deep learning",23000+,"Excellent code structure, clear separation of concerns, well-documented"
1,https://github.com/hyunwoongko/transformer,Category 1: From Scratch,extra-high,"Clean PyTorch implementation of Transformer (Attention Is All You Need)",4000+,"Excellent code clarity, well-structured, educational"
2,https://github.com/karpathy/minbpe,Category 1: From Scratch,extra-high,"Minimal BPE tokenizer implementation",3000+,"Clean code by Karpathy, minimal dependencies, educational"
3,https://github.com/karpathy/nanoGPT,Category 1: From Scratch,extra-high,"Simplest GPT implementation for training",35000+,"Extremely clean, self-contained, perfect for learning"
4,https://github.com/karpathy/micrograd,Category 1: From Scratch,extra-high,"Tiny autograd engine with neural nets",10000+,"Only stdlib, educational masterpiece, very small"
5,https://github.com/karpathy/minGPT,Category 1: From Scratch,extra-high,"Minimal GPT implementation in PyTorch",20000+,"Clean architecture, well-documented, medium size"
6,https://github.com/geohot/tinygrad,Category 1: From Scratch,extra-high,"Simple deep learning framework from scratch",26000+,"Minimal dependencies, framework implementation"
7,https://github.com/yunjey/pytorch-tutorial,Category 1: From Scratch,extra-high,"PyTorch tutorial with clean examples",30000+,"Educational, clear code structure, various models"
8,https://github.com/eriklindernoren/PyTorch-GAN,Category 1: From Scratch,extra-high,"Minimal PyTorch GAN implementations",16000+,"Collection of GAN models, very clean"
9,https://github.com/TheAlgorithms/Python,Category 3: Algorithms,extra-high,"Comprehensive collection of algorithms in Python",215000+,"Massive collection, well-organized, community-driven"
10,https://github.com/keon/algorithms,Category 3: Algorithms,extra-high,"Minimal and clean implementations of data structures and algorithms",24000+,"Extremely clean code, minimal dependencies, excellent for learning"
11,https://github.com/dennybritz/reinforcement-learning,Category 4: Scientific Computing,extra-high,"RL algorithms with OpenAI Gym, TensorFlow, exercises and solutions",21000+,"Comprehensive learning resource, well-documented"
12,https://github.com/ahmedfgad/GeneticAlgorithmPython,Category 4: Scientific Computing,extra-high,"PyGAD - comprehensive genetic algorithm library",5000+,"Supports Keras, PyTorch, well-documented"
14,https://github.com/pymc-devs/pymc,Category 4: Scientific Computing,extra-high,"Bayesian modeling and probabilistic programming",8000+,"MCMC implementations, statistical models"
15,https://github.com/davidhalter/parso,Category 5: Small Frameworks,extra-high,"Python parser supporting error recovery",5000+,"Used by Jedi, supports multiple Python versions"
16,https://github.com/eliben/pycparser,Category 5: Small Frameworks,extra-high,"Complete C99 parser in pure Python",3000+,"Used by CFFI, no external dependencies"
17,https://github.com/lark-parser/lark,Category 5: Small Frameworks,extra-high,"Parsing toolkit for Python",5000+,"LALR(1) and Earley parsers, pure Python"
18,https://github.com/pallets/click,Category 5: Small Frameworks,extra-high,"Command line interface creation kit",15000+,"Clean CLI framework, well-architected"
20,https://github.com/pallets/jinja,Category 5: Small Frameworks,extra-high,"Template engine for Python",10000+,"Clean template parsing and rendering"
22,https://github.com/tiangolo/fastapi,Category 5: Small Frameworks,extra-high,"Modern async web framework",75000+,"Clean async patterns, type hints, well-designed"
23,https://github.com/pydantic/pydantic,Category 5: Small Frameworks,extra-high,"Data validation using type hints",20000+,"Clean validation logic, type-driven"
24,https://github.com/explosion/spaCy,Category 2: Domain Specific,extra-high,"Industrial-strength NLP library",30000+,"High-quality NLP pipelines, well-architected"
25,https://github.com/scrapy/scrapy,Category 2: Domain Specific,extra-high,"Web crawling and scraping framework",52000+,"Excellent architecture, async spiders"
26,https://github.com/Girrajjangid/Machine-Learning-from-Scratch,Category 1: From Scratch,high,"ML algorithms from scratch with Jupyter demos and mathematical explanations",1000+,"Interactive notebooks, good for understanding implementations"
27,https://github.com/jadore801120/attention-is-all-you-need-pytorch,Category 1: From Scratch,high,"PyTorch implementation of Transformer with training support",8000+,"Complete implementation with training pipeline"
28,https://github.com/juho-lee/set_transformer,Category 1: From Scratch,high,"Set Transformer implementation",1000+,"Research paper implementation, clean code"
29,https://github.com/karpathy/pytorch-made,Category 1: From Scratch,high,"MADE autoregressive model implementation",1500+,"Clean implementation of density estimation"
30,https://github.com/karpathy/pytorch-normalizing-flows,Category 1: From Scratch,high,"Normalizing flows in PyTorch",2500+,"Clear implementation of generative models"
31,https://github.com/joeynmt/joeynmt,Category 1: From Scratch,high,"Minimalist NMT toolkit",3000+,"Clean neural machine translation code"
32,https://github.com/kuangliu/pytorch-cifar,Category 1: From Scratch,high,"CIFAR models in PyTorch playground",6000+,"Clean implementations of vision models"
33,https://github.com/lucidrains/vit-pytorch,Category 1: From Scratch,high,"Vision Transformer implementations",20000+,"Clean ViT implementations, well-organized"
34,https://github.com/lucidrains/x-transformers,Category 1: From Scratch,high,"Experimental transformer architectures",4000+,"Advanced transformer variants, clean code"
35,https://github.com/eriklindernoren/PyTorch-YOLOv3,Category 2: Domain Specific,high,"Minimal PyTorch YOLOv3 implementation",7000+,"Clean object detection code"
36,https://github.com/johnnycode8/gym_solutions,Category 4: Scientific Computing,high,"Gymnasium RL environments solutions with YouTube tutorials",1000+,"Step-by-step tutorials, beginner-friendly"
37,https://github.com/rmsolgi/geneticalgorithm,Category 4: Scientific Computing,high,"Genetic algorithm package for Python",2000+,"Handles continuous, discrete, mixed variables"
38,https://github.com/ericmjl/Network-Analysis-Made-Simple,Category 4: Scientific Computing,high,"Network analysis tutorial with NetworkX",4000+,"Educational resource with workshops"
39,https://github.com/pallets/werkzeug,Category 5: Small Frameworks,high,"WSGI utility library",7000+,"HTTP utilities, well-structured"
40,https://github.com/encode/starlette,Category 5: Small Frameworks,high,"Async web framework toolkit",10000+,"Lightweight ASGI framework, clean code"
41,https://github.com/encode/httpx,Category 5: Small Frameworks,high,"Next-gen HTTP client",13000+,"Async HTTP client, clean implementation"
42,https://github.com/google/python-fire,Category 5: Small Frameworks,high,"Auto-generate CLIs from any Python object",27000+,"Clean metaprogramming, reflection-based"
43,https://github.com/streamlit/streamlit,Category 5: Small Frameworks,high,"App framework for ML/data science",34000+,"Clean reactive programming model"
44,https://github.com/karpathy/llama2.c,Category 1: From Scratch,extra-high,"Pure C inference for Llama 2 with Python training code",15000+,"Minimal implementation, excellent for learning LLM internals"
45,https://github.com/karpathy/nn-zero-to-hero,Category 1: From Scratch,extra-high,"Neural networks from scratch video series code",10000+,"Educational masterpiece with videos"
46,https://github.com/labmlai/annotated_deep_learning_paper_implementations,Category 1: From Scratch,extra-high,"Paper implementations with annotations",55000+,"Excellent documentation, many architectures"
47,https://github.com/lucidrains/DALLE2-pytorch,Category 1: From Scratch,high,"DALL-E 2 implementation in PyTorch",11000+,"Clean diffusion model code"
48,https://github.com/lucidrains/imagen-pytorch,Category 1: From Scratch,high,"Google Imagen implementation",8000+,"Text-to-image diffusion model"
49,https://github.com/suno-ai/bark,Category 1: From Scratch,high,"Text-to-audio model",35000+,"Transformer-based audio generation"
50,https://github.com/coqui-ai/TTS,Category 1: From Scratch,extra-high,"Text-to-speech library",35000+,"Multiple TTS models implemented"
51,https://github.com/xinntao/Real-ESRGAN,Category 1: From Scratch,high,"Practical image restoration",28000+,"Super-resolution implementation"
52,https://github.com/TencentARC/GFPGAN,Category 1: From Scratch,high,"Face restoration GAN",36000+,"Face enhancement model"
53,https://github.com/sczhou/CodeFormer,Category 1: From Scratch,high,"Face restoration with codebook",15000+,"Transformer-based face restoration"
54,https://github.com/lllyasviel/ControlNet,Category 1: From Scratch,extra-high,"Adding control to diffusion",30000+,"Conditional image generation"
55,https://github.com/mlfoundations/open_clip,Category 1: From Scratch,high,"Open source CLIP implementation",10000+,"Reproducible CLIP training"
56,https://github.com/facebookresearch/mae,Category 1: From Scratch,high,"Masked Autoencoders",7000+,"Self-supervised vision learning"
57,https://github.com/facebookresearch/dino,Category 1: From Scratch,high,"Self-distillation with no labels",6000+,"Vision transformer training"
58,https://github.com/facebookresearch/dinov2,Category 1: From Scratch,high,"DINOv2 self-supervised",9000+,"Improved self-supervised vision"
59,https://github.com/EleutherAI/gpt-neox,Category 1: From Scratch,high,"GPT-NeoX-20B implementation",7000+,"Large-scale LLM training"
60,https://github.com/EleutherAI/gpt-neo,Category 1: From Scratch,high,"GPT-Neo implementation",8000+,"Open source GPT alternative"
61,https://github.com/bigscience-workshop/petals,Category 1: From Scratch,high,"Distributed LLM inference",9000+,"Run LLMs collaboratively"
62,https://github.com/facebookresearch/detr,Category 1: From Scratch,high,"Detection Transformer",13000+,"End-to-end object detection"
63,https://github.com/microsoft/Swin-Transformer,Category 1: From Scratch,high,"Swin Transformer implementation",14000+,"Hierarchical vision transformer"
64,https://github.com/facebookresearch/ConvNeXt,Category 1: From Scratch,high,"Modernized ConvNet",6000+,"A ConvNet for the 2020s"
65,https://github.com/haotian-liu/LLaVA,Category 1: From Scratch,high,"Large Language and Vision Assistant",20000+,"Visual instruction tuning"
66,https://github.com/clovaai/deep-text-recognition-benchmark,Category 1: From Scratch,high,"Text recognition benchmark",4000+,"STR model collection"
67,https://github.com/JaidedAI/EasyOCR,Category 1: From Scratch,high,"Easy-to-use OCR",24000+,"Multi-language OCR"
68,https://github.com/clovaai/CRAFT-pytorch,Category 1: From Scratch,high,"Text detection model",3000+,"Character region awareness"
69,https://github.com/ytdl-org/youtube-dl,Category 2: Domain Specific,extra-high,"Download videos from YouTube",132000+,"Comprehensive video downloader"
70,https://github.com/yt-dlp/yt-dlp,Category 2: Domain Specific,extra-high,"Feature-rich youtube-dl fork",85000+,"Active development, more features"
71,https://github.com/3b1b/manim,Category 2: Domain Specific,extra-high,"Math animation engine",64000+,"Mathematical animations"
72,https://github.com/ManimCommunity/manim,Category 2: Domain Specific,extra-high,"Community fork of manim",23000+,"Improved manim version"
73,https://github.com/sherlock-project/sherlock,Category 2: Domain Specific,extra-high,"Hunt usernames across social networks",55000+,"OSINT tool"
74,https://github.com/locustio/locust,Category 2: Domain Specific,high,"Load testing tool",25000+,"Scalable user simulation"
75,https://github.com/mitmproxy/mitmproxy,Category 2: Domain Specific,extra-high,"Interactive HTTPS proxy",37000+,"Network debugging tool"
76,https://github.com/sqlmapproject/sqlmap,Category 2: Domain Specific,extra-high,"SQL injection tool",32000+,"Security testing"
77,https://github.com/s0md3v/XSStrike,Category 2: Domain Specific,high,"XSS scanner",13000+,"Cross-site scripting detection"
78,https://github.com/maurosoria/dirsearch,Category 2: Domain Specific,high,"Web path scanner",12000+,"Directory brute forcing"
79,https://github.com/laramies/theHarvester,Category 2: Domain Specific,high,"Email and subdomain harvester",11000+,"OSINT gathering"
80,https://github.com/Gallopsled/pwntools,Category 2: Domain Specific,high,"CTF toolkit",12000+,"Exploit development"
81,https://github.com/python-telegram-bot/python-telegram-bot,Category 2: Domain Specific,high,"Telegram bot API",26000+,"Bot development"
82,https://github.com/Rapptz/discord.py,Category 2: Domain Specific,high,"Discord API wrapper",15000+,"Discord bot development"
83,https://github.com/tweepy/tweepy,Category 2: Domain Specific,high,"Twitter API library",10000+,"Twitter integration"
84,https://github.com/praw-dev/praw,Category 2: Domain Specific,high,"Reddit API wrapper",4000+,"Reddit integration"
85,https://github.com/burnash/gspread,Category 2: Domain Specific,high,"Google Sheets API",7000+,"Spreadsheet automation"
86,https://github.com/RaRe-Technologies/gensim,Category 2: Domain Specific,high,"Topic modelling library",16000+,"NLP topic models"
87,https://github.com/nltk/nltk,Category 2: Domain Specific,extra-high,"Natural Language Toolkit",14000+,"Classic NLP library"
88,https://github.com/sloria/TextBlob,Category 2: Domain Specific,high,"Simple NLP library",9000+,"Easy text processing"
89,https://github.com/stanfordnlp/stanza,Category 2: Domain Specific,high,"Stanford NLP library",7000+,"Multi-language NLP"
90,https://github.com/flairNLP/flair,Category 2: Domain Specific,high,"State-of-art NLP",14000+,"NER, POS tagging"
91,https://github.com/deepset-ai/haystack,Category 2: Domain Specific,high,"NLP framework",17000+,"Question answering, RAG"
92,https://github.com/chroma-core/chroma,Category 2: Domain Specific,high,"Vector database",15000+,"AI-native embedding database"
93,https://github.com/facebookresearch/faiss,Category 2: Domain Specific,extra-high,"Similarity search library",32000+,"Efficient similarity search"
94,https://github.com/spotify/annoy,Category 2: Domain Specific,high,"Approximate nearest neighbors",13000+,"Memory-efficient ANN"
95,https://github.com/celery/celery,Category 2: Domain Specific,extra-high,"Distributed task queue",25000+,"Async task processing"
96,https://github.com/rq/rq,Category 2: Domain Specific,high,"Simple job queue",10000+,"Redis-based queue"
97,https://github.com/fabric/fabric,Category 2: Domain Specific,high,"SSH command execution",15000+,"Remote administration"
98,https://github.com/paramiko/paramiko,Category 2: Domain Specific,high,"SSH2 protocol library",9000+,"SSH implementation"
99,https://github.com/donnemartin/interactive-coding-challenges,Category 3: Algorithms,extra-high,"Interactive coding challenges",30000+,"Jupyter notebooks with solutions"
100,https://github.com/faif/python-patterns,Category 3: Algorithms,extra-high,"Design patterns in Python",40000+,"Comprehensive pattern collection"
