repo_id,repository_url,category,quality_rating,description,stars_estimate,notes
0,https://github.com/eriklindernoren/ML-From-Scratch,Category 1: From Scratch,extra-high,"Bare bones NumPy implementations of ML models from linear regression to deep learning",23000+,"Excellent code structure, clear separation of concerns, well-documented"
1,https://github.com/hyunwoongko/transformer,Category 1: From Scratch,extra-high,"Clean PyTorch implementation of Transformer (Attention Is All You Need)",4000+,"Excellent code clarity, well-structured, educational"
2,https://github.com/karpathy/minbpe,Category 1: From Scratch,extra-high,"Minimal BPE tokenizer implementation",3000+,"Clean code by Karpathy, minimal dependencies, educational"
3,https://github.com/karpathy/nanoGPT,Category 1: From Scratch,extra-high,"Simplest GPT implementation for training",35000+,"Extremely clean, self-contained, perfect for learning"
4,https://github.com/karpathy/micrograd,Category 1: From Scratch,extra-high,"Tiny autograd engine with neural nets",10000+,"Only stdlib, educational masterpiece, very small"
5,https://github.com/karpathy/minGPT,Category 1: From Scratch,extra-high,"Minimal GPT implementation in PyTorch",20000+,"Clean architecture, well-documented, medium size"
6,https://github.com/geohot/tinygrad,Category 1: From Scratch,extra-high,"Simple deep learning framework from scratch",26000+,"Minimal dependencies, framework implementation"
7,https://github.com/yunjey/pytorch-tutorial,Category 1: From Scratch,extra-high,"PyTorch tutorial with clean examples",30000+,"Educational, clear code structure, various models"
8,https://github.com/eriklindernoren/PyTorch-GAN,Category 1: From Scratch,extra-high,"Minimal PyTorch GAN implementations",16000+,"Collection of GAN models, very clean"
9,https://github.com/TheAlgorithms/Python,Category 3: Algorithms,extra-high,"Comprehensive collection of algorithms in Python",215000+,"Massive collection, well-organized, community-driven"
10,https://github.com/keon/algorithms,Category 3: Algorithms,extra-high,"Minimal and clean implementations of data structures and algorithms",24000+,"Extremely clean code, minimal dependencies, excellent for learning"
11,https://github.com/dennybritz/reinforcement-learning,Category 4: Scientific Computing,extra-high,"RL algorithms with OpenAI Gym, TensorFlow, exercises and solutions",21000+,"Comprehensive learning resource, well-documented"
12,https://github.com/ahmedfgad/GeneticAlgorithmPython,Category 4: Scientific Computing,extra-high,"PyGAD - comprehensive genetic algorithm library",5000+,"Supports Keras, PyTorch, well-documented"
13,https://github.com/sympy/sympy,Category 4: Scientific Computing,extra-high,"Symbolic mathematics library",13000+,"Computer algebra system, complex math logic"
14,https://github.com/pymc-devs/pymc,Category 4: Scientific Computing,extra-high,"Bayesian modeling and probabilistic programming",8000+,"MCMC implementations, statistical models"
15,https://github.com/davidhalter/parso,Category 5: Small Frameworks,extra-high,"Python parser supporting error recovery",5000+,"Used by Jedi, supports multiple Python versions"
16,https://github.com/eliben/pycparser,Category 5: Small Frameworks,extra-high,"Complete C99 parser in pure Python",3000+,"Used by CFFI, no external dependencies"
17,https://github.com/lark-parser/lark,Category 5: Small Frameworks,extra-high,"Parsing toolkit for Python",5000+,"LALR(1) and Earley parsers, pure Python"
18,https://github.com/pallets/click,Category 5: Small Frameworks,extra-high,"Command line interface creation kit",15000+,"Clean CLI framework, well-architected"
19,https://github.com/pallets/flask,Category 5: Small Frameworks,extra-high,"Lightweight WSGI web framework",67000+,"Minimal web framework, excellent code quality"
20,https://github.com/pallets/jinja,Category 5: Small Frameworks,extra-high,"Template engine for Python",10000+,"Clean template parsing and rendering"
21,https://github.com/psf/requests,Category 5: Small Frameworks,extra-high,"HTTP library for humans",52000+,"Clean HTTP client implementation"
22,https://github.com/tiangolo/fastapi,Category 5: Small Frameworks,extra-high,"Modern async web framework",75000+,"Clean async patterns, type hints, well-designed"
23,https://github.com/pydantic/pydantic,Category 5: Small Frameworks,extra-high,"Data validation using type hints",20000+,"Clean validation logic, type-driven"
24,https://github.com/explosion/spaCy,Category 2: Domain Specific,extra-high,"Industrial-strength NLP library",30000+,"High-quality NLP pipelines, well-architected"
25,https://github.com/scrapy/scrapy,Category 2: Domain Specific,extra-high,"Web crawling and scraping framework",52000+,"Excellent architecture, async spiders"
26,https://github.com/Girrajjangid/Machine-Learning-from-Scratch,Category 1: From Scratch,high,"ML algorithms from scratch with Jupyter demos and mathematical explanations",1000+,"Interactive notebooks, good for understanding implementations"
27,https://github.com/rafaelgreca/scratchml,Category 1: From Scratch,high,"Well-organized ML models using OOP, includes unit tests and CI",500+,"Modern structure with OOP, testing, good code quality"
28,https://github.com/jadore801120/attention-is-all-you-need-pytorch,Category 1: From Scratch,high,"PyTorch implementation of Transformer with training support",8000+,"Complete implementation with training pipeline"
29,https://github.com/juho-lee/set_transformer,Category 1: From Scratch,high,"Set Transformer implementation",1000+,"Research paper implementation, clean code"
30,https://github.com/sgrvinod/a-PyTorch-Tutorial-to-Transformers,Category 1: From Scratch,high,"Detailed tutorial on Transformers",2000+,"Extensive documentation and explanations"
31,https://github.com/changzy00/pytorch-attention,Category 1: From Scratch,high,"Collection of attention mechanisms and ViT models",1000+,"Comprehensive collection, modern implementations"
32,https://github.com/karpathy/pytorch-made,Category 1: From Scratch,high,"MADE autoregressive model implementation",1500+,"Clean implementation of density estimation"
33,https://github.com/karpathy/pytorch-normalizing-flows,Category 1: From Scratch,high,"Normalizing flows in PyTorch",2500+,"Clear implementation of generative models"
34,https://github.com/joeynmt/joeynmt,Category 1: From Scratch,high,"Minimalist NMT toolkit",3000+,"Clean neural machine translation code"
35,https://github.com/kuangliu/pytorch-cifar,Category 1: From Scratch,high,"CIFAR models in PyTorch playground",6000+,"Clean implementations of vision models"
36,https://github.com/lucidrains/vit-pytorch,Category 1: From Scratch,high,"Vision Transformer implementations",20000+,"Clean ViT implementations, well-organized"
37,https://github.com/lucidrains/x-transformers,Category 1: From Scratch,high,"Experimental transformer architectures",4000+,"Advanced transformer variants, clean code"
38,https://github.com/scrapy/scrapely,Category 2: Domain Specific,high,"Pure-python HTML screen-scraping library",2000+,"No xpaths needed, intelligent extraction"
39,https://github.com/eriklindernoren/PyTorch-YOLOv3,Category 2: Domain Specific,high,"Minimal PyTorch YOLOv3 implementation",7000+,"Clean object detection code"
40,https://github.com/david-legend/python-algorithms,Category 3: Algorithms,high,"Data structures with explanations and links to further readings",2000+,"Good documentation, interview-focused"
41,https://github.com/johnnycode8/gym_solutions,Category 4: Scientific Computing,high,"Gymnasium RL environments solutions with YouTube tutorials",1000+,"Step-by-step tutorials, beginner-friendly"
42,https://github.com/Rafael1s/Deep-Reinforcement-Learning-Algorithms,Category 4: Scientific Computing,high,"32 RL projects with detailed training logs",2000+,"Matrix-style organization, comprehensive"
43,https://github.com/rmsolgi/geneticalgorithm,Category 4: Scientific Computing,high,"Genetic algorithm package for Python",2000+,"Handles continuous, discrete, mixed variables"
44,https://github.com/ericmjl/Network-Analysis-Made-Simple,Category 4: Scientific Computing,high,"Network analysis tutorial with NetworkX",4000+,"Educational resource with workshops"
45,https://github.com/jshaffstall/PyPhysicsSandbox,Category 4: Scientific Computing,high,"Simple wrapper around Pymunk physics",1000+,"Educational, exposes pins and motors"
46,https://github.com/techwithtim/PygameForBeginners,Category 5: Small Frameworks,high,"Simple 2D game to teach pygame",2000+,"Educational, step-by-step"
47,https://github.com/richpl/PyBasic,Category 5: Small Frameworks,high,"Interactive BASIC interpreter in Python",2000+,"Lexer, parser, interpreter for BASIC language"
48,https://github.com/pallets/werkzeug,Category 5: Small Frameworks,high,"WSGI utility library",7000+,"HTTP utilities, well-structured"
49,https://github.com/encode/starlette,Category 5: Small Frameworks,high,"Async web framework toolkit",10000+,"Lightweight ASGI framework, clean code"
50,https://github.com/encode/httpx,Category 5: Small Frameworks,high,"Next-gen HTTP client",13000+,"Async HTTP client, clean implementation"
51,https://github.com/google/python-fire,Category 5: Small Frameworks,high,"Auto-generate CLIs from any Python object",27000+,"Clean metaprogramming, reflection-based"
52,https://github.com/streamlit/streamlit,Category 5: Small Frameworks,high,"App framework for ML/data science",34000+,"Clean reactive programming model"
53,https://github.com/Eric-D-Stevens/Random_Forest_From_Scratch,Category 1: From Scratch,medium,"Random Forest from scratch including decision trees and bagging",200+,"Complete implementation with good documentation"
54,https://github.com/SamuelSchmidgall/Machine-Learning-from-Scratch,Category 1: From Scratch,medium,"Various ML algorithms from scratch",500+,"Includes RL examples"
55,https://github.com/cristianleoo/models-from-scratch-python,Category 1: From Scratch,medium,"ML models recreated from scratch with articles",300+,"Accompanied by detailed blog posts"
56,https://github.com/bkhanal-11/transformers,Category 1: From Scratch,medium,"Transformer implementation from scratch with math explanations",200+,"Educational with mathematical background"
57,https://github.com/tranquoctrinh/transformer,Category 1: From Scratch,medium,"Transformer for English-Vietnamese translation",100+,"Complete training pipeline included"
58,https://github.com/OriYarden/Computer-Vision-Image-Processing-Object-Detection-Tracking-in-Python-from-Scratch,Category 1: From Scratch,medium,"Computer vision from scratch using only numpy",200+,"Pure numpy implementation, no external CV libraries"
59,https://github.com/georges618/S-AES-Cryptography-Project,Category 1: From Scratch,medium,"Simplified AES implementation with modes",300+,"Educational S-AES with CBC/CFB and analysis"
60,https://github.com/arzzen/python-simple-web-crawler,Category 2: Domain Specific,medium,"Simple web crawler with BeautifulSoup",500+,"Clean implementation, good starting point"
61,https://github.com/arunponnusamy/object-detection-opencv,Category 2: Domain Specific,medium,"YOLO object detection with OpenCV",1000+,"Simple YOLO implementation for education"
62,https://github.com/proycon/pynlpl,Category 2: Domain Specific,medium,"PyNLPl library for NLP tasks",300+,"Various NLP modules, format parsers"
63,https://github.com/andrewcooke/simple-crypt,Category 2: Domain Specific,medium,"Simple encryption/decryption for Python",1000+,"Easy-to-use, secure by default"
64,https://github.com/Python-World/python-mini-projects,Category 2: Domain Specific,medium,"Collection of mini Python projects",5000+,"Various small projects, mixed quality"
65,https://github.com/avinashkranjan/Amazing-Python-Scripts,Category 2: Domain Specific,medium,"Collection of automation scripts",2000+,"Utility scripts, automation tasks"
66,https://github.com/prabhupant/python-ds,Category 3: Algorithms,medium,"Simple and elegant data structure implementations",3000+,"No nonsense approach, clean implementations"
67,https://github.com/shushrutsharma/Data-Structures-and-Algorithms-Python,Category 3: Algorithms,medium,"Essential DS&A resources with small projects",500+,"Includes practical applications"
68,https://github.com/NickKaparinos/OpenAI-Gym-Projects,Category 4: Scientific Computing,medium,"Deep RL solutions for OpenAI Gym environments",300+,"Multiple environment implementations"
69,https://github.com/rflamary/PyOptim,Category 4: Scientific Computing,medium,"Python numerical optimization toolbox",300+,"Focused on optimization algorithms"
70,https://github.com/lilianweng/deep-reinforcement-learning-gym,Category 4: Scientific Computing,medium,"Deep RL with TensorFlow and OpenAI Gym",500+,"Well-structured config-based approach"
71,https://github.com/mateuszdorobek/Genetic-Algorithm,Category 4: Scientific Computing,medium,"Simple genetic algorithm for knapsack problem",300+,"Educational implementation with clear code"
72,https://github.com/Jason2Brownlee/FastGeneticAlgorithm,Category 4: Scientific Computing,medium,"Optimized genetic algorithm in Python",200+,"Performance-focused, compares Python to C"
73,https://github.com/KangboLu/Graph-Analysis-with-NetworkX,Category 4: Scientific Computing,medium,"Graph analysis examples with NetworkX",500+,"Covers community detection, link prediction"
74,https://github.com/pmocz/mcmc-python,Category 4: Scientific Computing,medium,"Metropolis-Hastings MCMC from scratch",500+,"Clear implementation for Bayesian inference"
75,https://github.com/Joseph94m/MCMC,Category 4: Scientific Computing,medium,"MCMC implementation from scratch",400+,"Jupyter notebook with detailed explanation"
76,https://github.com/AkiRusProd/python-2d-physics,Category 4: Scientific Computing,medium,"Simple 2D physics simulation with Pygame",400+,"SAT collision detection, friction, gravity"
77,https://github.com/POSS-UniMe/simple-physics-with-Python,Category 4: Scientific Computing,medium,"Collection of physics notebooks",500+,"Projectile motion, circular motion, oscillations"
78,https://github.com/JonathanMurray/python-2d-game,Category 5: Small Frameworks,medium,"Action-RPG game in Pygame",200+,"Complete game with map editor, good structure"
79,https://github.com/itspyguru/Python-Games,Category 5: Small Frameworks,medium,"Collection of small pygame games",1000+,"Multiple projects, variety of implementations"
80,https://github.com/cedricrupb/code_tokenize,Category 5: Small Frameworks,medium,"Fast tokenization for any programming language",500+,"Uses tree-sitter, multi-language support"
81,https://github.com/FedericoBruzzone/smaller-basic,Category 5: Small Frameworks,medium,"Python interpreter using ANTLR4",300+,"Smaller Basic language with ANTLR4 parser"
82,https://github.com/albertz/PyCParser,Category 5: Small Frameworks,medium,"C parser and interpreter with ctypes",300+,"Translates C code to Python AST"
83,https://github.com/aalhour/PyCOOLC,Category 5: Small Frameworks,medium,"COOL language compiler in Python",500+,"Full compiler frontend and backend"
84,https://github.com/keijack/python-simple-http-server,Category 5: Small Frameworks,medium,"Lightweight HTTP server with websocket",1000+,"Supports websocket and coroutine"
85,https://github.com/Michael-Naguib/Simple-Cryptography,Category 1: From Scratch,low,"Basic cryptography algorithms from scratch",100+,"Caesar, Vigenere, Hill ciphers for education"
86,https://github.com/mrafayaleem/simple-crawler,Category 2: Domain Specific,low,"Simple webcrawler framework",100+,"Basic but educational implementation"
87,https://github.com/iamaziz/etl,Category 2: Domain Specific,low,"Simple ETL data pipeline example",100+,"Demonstrates basic ETL concepts"
